"partner_id","partner_sub_id","partner_sub_weekly","partner_name","partner_name_country","merchant_name","merchant_id","log_merchant_name","partner_country","country_code","rpid_field","created_field","launch_date","insurance_naming_convention","compliance_naming_convention","partner_billing","insurance_product","monthly_payment","stel_switch","steb_switch","quasar","parent_company","screen_only","compliance_grouping","mobile_region","ce_region","zone_number"
amz_eu,amz_uk,Amazon_UK,Amazon,Amazon UK,Amazon UK Monthly,subscrip_014770964554,AMAZON_UK_MONTHLY,United Kingdom,GB,string_16,purchase_date,2019-06-01,Amazon UK,Amazon UK,true,true,true,2999-01-01,2999-01-01,false,Amazon,false,UK,uk,uk,5
amz_eu,amz_uk,Amazon_UK,Amazon,Amazon UK,Amazon UK Upfront,subscrip_amzuku12182020,AMAZON_UK_UPFRONT,United Kingdom,GB,string_16,purchase_date,2021-03-25,Amazon UK,Amazon UK,true,true,false,2999-01-01,2999-01-01,false,Amazon,false,UK,uk,uk,5
thr_uk,thr_uk,"3UK",Three UK,Three UK,Three-UK (3UK),subscrip_threeukrepair09262022,THREE_UK,United Kingdom,GB,string_16,create_date,2022-09-26,Three UK,Three UK,false,false,true,2999-01-01,2999-01-01,false,H3G,true,UK,uk,uk,5
thr_uk,thr_uk,"3UK",Three UK,Three UK,Three-UK (3UK),subscrip_threeuk09262022,THREE_UK,United Kingdom,GB,string_16,create_date,2022-09-26,Three UK,Three UK,false,true,true,2999-01-01,2999-01-01,false,H3G,false,UK,uk,uk,5
thr_uk,thr_uk,"3UK",Three UK,Three UK,Three-UK(3UK) ACS,subscrip_threeukacs09262022,THREE_UK_APPLECARE,United Kingdom,GB,string_16,create_date,2022-09-26,Three UK,Three UK,false,true,true,2999-01-01,2999-01-01,false,H3G,false,UK,uk,uk,5
thr_uk,thr_uk,"3UK",Three UK,Three UK,Three-UK (3UK),subscrip_threeuk120112019,THREE_UK,United Kingdom,GB,string_16,create_date,2020-05-05,Three UK,Three UK,false,true,true,2999-01-01,2999-01-01,false,H3G,false,UK,uk,uk,5
tln_se,tln_se,Telenor_SE,Telenor Sweden,Telenor Sweden,Telenor Sweden Monthly SQT B2B,subscrip_tlnsemsqtb2b01302025,TELENOR_SE_MONTHLY_SQT_B2B,Sweden,SE,string_16,purchase_date,2025-04-10,Telenor Sweden,Telenor Sweden,true,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,eu operators,nordics,1
tln_se,tln_se,Telenor_SE,Telenor Sweden,Telenor Sweden,Telenor Sweden Monthly SQT Screen,subscrip_tlnsemsqtscreen01302025,TELENOR_SE_MONTHLY_SQT_SCREEN,Sweden,SE,string_16,purchase_date,2024-01-01,Telenor Sweden,Telenor Sweden,true,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,eu operators,nordics,1
tln_se,tln_se,Telenor_SE,Telenor Sweden,Telenor Sweden,Telenor Sweden Monthly SQT,subscrip_tlnsemsqt01302025,TELENOR_SE_MONTHLY_SQT,Sweden,SE,string_16,purchase_date,2024-01-01,Telenor Sweden,Telenor Sweden,true,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,eu operators,nordics,1
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor Norway Screen Legacy (Migrating Existing Base),subscrip_telnorlegacy2,TELENOR_NORWAY_LEGACY_2,Norway,NO,string_16,purchase_date,2015-01-01,Telenor Norway,Telenor Norway - excl Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,true,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor Norway (Screen Only),subscrip_telnor08282019,TELENOR_NORWAY_2,Norway,NO,string_16,purchase_date,2015-01-01,Telenor Norway,Telenor Norway - excl Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,true,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor TalkMore (Screen Only),subscrip_talkmore1022,TALK_MORE_2,Norway,NO,string_16,purchase_date,2015-01-01,Telenor Norway,Telenor Norway - Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,true,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor Norway Mult-Device,subscrip_telnormid01012022,TELENOR_NORWAY_MID,Norway,NO,string_16,purchase_date,2022-06-01,Telenor Norway,Telenor Norway - excl Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor Norway Gjensidige Legacy (Migrating Existing Base),subscrip_telnorlegacy3,TELENOR_NORWAY_LEGACY_3,Norway,NO,string_16,purchase_date,2015-01-01,Telenor Norway,Telenor Norway - excl Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor Norway Legacy (Migrating Existing Base),subscrip_telnorlegacy1,TELENOR_NORWAY_LEGACY_1,Norway,NO,string_16,purchase_date,2015-01-01,Telenor Norway,Telenor Norway - excl Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor Norway (Regular),subscrip_telnor07122019,TELENOR_NORWAY_1,Norway,NO,string_16,purchase_date,2012-04-10,Telenor Norway,Telenor Norway - excl Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,norway operators,nordics,4
tln_no,tln_no,Telenor_NO,Telenor Norway,Telenor Norway,Telenor TalkMore,subscrip_talkmore1021,TALK_MORE_1,Norway,NO,string_16,purchase_date,2015-01-01,Telenor Norway,Telenor Norway - Talkmore,false,true,true,2020-09-10,2999-01-01,false,Telenor,false,EU,norway operators,nordics,4
mma_se,mma_se,MM_SE,MediaMarkt Sweden,MediaMarkt Sweden,MediaMarkt Sweden Monthly,subscrip_mmswemonthly12012021,MMSE_MONTHLY,Sweden,SE,string_16,purchase_date,2022-03-31,MediaMarkt Sweden,MediaMarkt Sweden,false,true,true,2020-09-10,2999-01-01,false,MediaMarkt,false,EU,nordic retailers,nordics,6
mma_se,mma_se,MM_SE,MediaMarkt Sweden,MediaMarkt Sweden,MediaMarkt Sweden Upfront ACS,subscrip_mmsweacs05012021,MMSE_UPFRONT_APPLECARE,Sweden,SE,string_16,purchase_date,2022-03-30,MediaMarkt Sweden,MediaMarkt Sweden,false,true,false,2020-09-10,2999-01-01,false,MediaMarkt,false,EU,nordic retailers,nordics,6
mma_se,mma_se,MM_SE,MediaMarkt Sweden,MediaMarkt Sweden,MediaMarkt Sweden,subscrip_mmswe05012021,MMSE_UPFRONT,Sweden,SE,string_16,purchase_date,2021-05-01,MediaMarkt Sweden,MediaMarkt Sweden,false,true,false,2020-09-10,2999-01-01,false,MediaMarkt,false,EU,nordic retailers,nordics,6
mma_se,mma_se,MM_SE,MediaMarkt Sweden,MediaMarkt Sweden,MediaMarkt Sweden Upfront Renewals,subscrip_mmswere04302022,MMSE_UPFRONT_RENEWAL,Sweden,SE,string_16,purchase_date,2022-04-30,MediaMarkt Sweden,MediaMarkt Sweden,false,true,false,2020-09-10,2999-01-01,false,MediaMarkt,false,EU,nordic retailers,nordics,6
mma_se,mma_se,MM_SE,MediaMarkt Sweden,MediaMarkt Sweden,MediaMarkt Sweden Monthly ACS,subscrip_mmswemonthlyacs12012021,MMSE_MONTHLY_APPLECARE,Sweden,SE,string_16,purchase_date,2022-06-01,MediaMarkt Sweden,MediaMarkt Sweden,false,true,true,2020-09-10,2999-01-01,false,MediaMarkt,false,EU,nordic retailers,nordics,6
pow_no,pow_no,Power Norway,Power Norway,Power Norway,Power Norway - Monthly,subscrip_powernomacs09032024,POWER_NO_MONTHLY_ACS,Norway,NO,string_16,purchase_date,2024-09-03,Power Norway,Power Norway,false,true,true,2020-09-10,2999-01-01,false,Power,false,EU,nordic retailers,nordics,6
